"year","sst.winter.djfm","sst.spring.am","sst.summer.jja","pdo.winter.djfm","pdo.spring.am","pdo.summer.jja","npgo.winter.djfm","npgo.spring.am","npgo.summer.jja"
1951,-0.633823248388693,-0.438508379352786,0.383911228191774,-1.315,-0.305,-0.586666666666667,-0.488815755,-0.81627738,-1.23800606666667
1952,-0.273751573044746,-0.365454912079074,-0.449050825280569,-1.195,-1.025,-1.09333333333333,-1.0800785875,-0.53011391,-1.068577
1953,-0.424448742565384,-0.29719116568743,0.445740789367498,-0.43,0.24,0.36,0.9385842075,1.26045385,0.9054612
1954,-0.468141965619143,-0.16080735694456,-0.183232164371092,-0.845,-0.66,0.493333333333333,0.9371999325,-0.268286655,0.00387993533333334
1955,-0.126591494865993,-0.332855348046952,-0.577741702385819,-0.77,-1.59,-2.34666666666667,0.0662697025,0.15106182,0.0568700076666667
1956,-0.377254695157713,-0.261536938387306,-0.10121860647462,-2.6325,-1.79,-1.29666666666667,-0.128182016,0.051861198,0.491580273333333
1957,0.0875820626755939,0.732040699610234,0.953622903257711,-0.9375,-0.005,0.996666666666667,-1.3342254875,-1.14678175,-0.943163293333333
1958,0.499932132339335,0.703679401872766,0.502692683549644,0.1425,1.17,1.09333333333333,-0.4012769625,-0.785169205,-0.740629096666667
1959,0.0331313377920811,0.102157386431218,-0.0197139869918284,0.0425,0.105,-0.226666666666667,-0.31628907,-0.444576455,-0.424687156666667
1960,-0.167367320897504,-0.280784998592072,-0.0912346536344525,0.1675,0.5,-0.00333333333333334,0.780252985,0.85620135,0.486747136666667
1961,-0.380050213144184,0.182528702343985,0.054188945088526,0.4675,0.14,-0.986666666666667,1.337031575,1.17868331,1.11306326666667
1962,0.114333247139095,0.131177958139897,0.33160181624701,-1.6375,-1.01,-1.18666666666667,-0.0463301925,-0.605215785,-0.245723319
1963,0.332027547552227,0.508284241609531,0.474570128423803,-0.4975,-0.53,-0.97,-0.4310551175,-0.619397805,-0.405845533333333
1964,0.119152947260975,-0.0925851847926483,-0.285450035141168,-0.5375,-1.47,-0.62,0.564519575,0.261027035,1.08998458333333
1965,-0.347601101530824,-0.193164869765411,-0.566820266018208,-0.97,-0.02,-0.356666666666667,-0.7672088775,-1.01931432,-0.65548186
1966,-0.161304073357724,-0.169176091824488,-0.323312357688388,-0.52,-0.235,0.0233333333333333,-0.8075241975,-1.52399065,-1.11850912666667
1967,-0.161595632728806,0.294948155878198,0.934079199138117,-0.475,-1.065,-1.09666666666667,-0.7525759375,-0.943239515,-1.05981195333333
1968,-0.209777181985304,-0.0122188545374866,0.321816041264675,-0.515,-0.78,0.123333333333333,-0.564355715,-1.20885715,-1.00638267333333
1969,-0.503467527489371,-0.452363538093609,0.124908526750328,-0.995,-0.32,0.06,-1.22466846,-0.1370636965,-0.57957761
1970,0.111018494939662,0.118703306369739,-0.672789001452999,0.9375,-0.03,-0.75,0.0504073825,0.131203615,0.35219072
1971,-0.0821797456764429,-0.717685715612108,-1.15968677851908,-1.5725,-1.57,-1.3,0.06009562425,0.674362845,0.636532166666667
1972,-0.583718504604569,-0.627158968450415,-0.493394301142552,-1.945,-1.61,-0.816666666666667,-0.41525609825,-0.7142595,-0.50358629
1973,-0.298005563478179,-0.412557692854664,-1.08406884741321,-0.475,-0.725,-0.893333333333333,-0.3465872065,0.1020360695,0.33506073
1974,-0.281642462635183,-0.306923214307307,-0.13682410499082,-1.1325,-0.4,-0.04,-0.2691817635,-0.0757646055,0.285837753333333
1975,-0.195956021191999,-0.5728901878288,-1.11305394749468,-0.545,-1.16,-0.876666666666667,0.76384342,0.68254203,0.664931843333333
1976,-0.55950490878076,-0.821784589400767,-1.03797437637763,-1.39,-0.785,0.406666666666667,1.2550486,2.30853975,2.2568419
1977,0.184509351392084,-0.0128703685258078,0.347951594277868,1.175,0.305,0.416666666666667,1.571227975,1.2341922,1.08179522666667
1978,-0.0483749570327793,0.171522211593238,-0.456705058692878,0.61,1.095,-0.55,0.98245075,0.52001642,0.55797851
1979,0.342929076961895,0.430673929342747,0.580626869213505,-0.51,0.99,0.51,-0.623067325,-0.908083525,-1.07398596333333
1980,0.0553698510775445,-0.169548912917093,-0.112660395003527,0.47,1.345,0.173333333333333,-1.3294240225,-0.138291774,-0.918769883333333
1981,0.120312659662278,0.611052020678044,0.556544497530673,0.735,1.6,0.903333333333333,-0.57384678,-0.213524245,-0.404988955533333
1982,0.0997822662135352,-0.288433659511956,-0.815103780850214,0.35,-0.385,0.0633333333333333,-0.2932203925,-1.032102545,-0.638386033333333
1983,0.00886377971591603,0.404053812241945,0.132062776172808,1.0175,1.835,2.57333333333333,0.318618735,-0.7322406,-0.0451776336666667
1984,0.449374269710746,0.291069273079916,0.428023955328099,1.5425,1.41,-0.01,0.0567315125,1.07080413,0.507168573333333
1985,0.463470914502435,-0.308186867455612,-0.647589658956533,0.9,0.095,0.686666666666667,0.18574755475,0.23779819,-0.0329928013333333
1986,0.49988184498426,0.157258331340401,-0.422140559271326,1.3225,1.355,0.83,-1.0911763575,-0.73259395,-0.87517878
1987,0.699344229511639,0.353690777690151,-0.515546600734542,1.875,2.005,1.85666666666667,0.3208464825,0.372553875,0.386701816666667
1988,0.0595413374119118,-0.314494607016866,-0.635461401205068,1.215,1.07,0.523333333333333,0.890626535,1.67595555,1.62013856666667
1989,-0.338493963449793,-0.0419216810591002,0.261804543131332,-0.8075,0.075,0.426666666666667,0.914739765,0.683635925,0.817697393333333
1990,0.0721426178952445,0.188558244269935,0.0983235026969281,-0.445,0.355,0.273333333333333,0.1171842975,0.0727550625,-0.218046076
1991,0.496429989909983,0.140358827979305,-0.0809179912795481,-1.545,-0.76,-0.403333333333333,-0.8471359125,-0.132983392,-0.48043838
1992,0.374363703432808,0.353386775578543,0.147038308068761,0.28,1.145,1.53333333333333,-0.24930822,-1.6146153,-1.35351916666667
1993,0.0260810809545832,0.537112737350421,0.726970991955665,0.3825,1.67,2.46,-2.142100325,-0.92413188,-1.624994
1994,0.749015483886403,0.455483044925994,0.347406781815325,0.9175,1.14,-0.09,-1.922255175,-0.87421642,-0.727166983333333
1995,0.0672787482932142,-0.0352689091743549,-0.0690066525311957,-0.2675,1.145,1.06333333333333,-1.2828276575,-1.6646013,-1.18448166666667
1996,0.554209160076346,0.760367938169957,0.39898384413314,0.6275,1.82,0.576666666666667,-0.656220925,-0.85544123,-0.89747334
1997,0.393172836659029,0.612840220167811,1.39676010826602,0.2825,1.44,2.63333333333333,-1.181566595,-0.69166618,-0.832194043333333
1998,0.401026274212782,0.234683645420032,0.232256006483883,1.2675,0.985,0.0466666666666667,0.895493105,0.399547355,0.261613696666667
1999,-0.0652460143480854,-0.716255927521141,-0.683076990000123,-0.4375,-0.545,-0.973333333333333,1.5325282475,1.6255157,1.57330333333333
2000,-0.656139922328571,-0.0936323007688081,0.323592801539387,-1.0425,0.15,-0.763333333333333,1.68253565,2.29278125,1.70315946666667
2001,0.163171139443862,0.0432482996836149,0.188882941922559,0.465,-0.305,-0.85,2.5929374,2.0789183,1.9216048
2002,-0.32710084500327,0.307578253310768,0.436433258935459,-0.4325,-0.475,-0.02,1.989818375,0.99999758,1.26651045
2003,0.651572994023961,0.517058422997172,0.519464911848408,1.8625,1.035,0.84,1.772251845,1.01049025,0.920806753333333
2004,0.0709911344570127,0.483651540060868,1.06862554695851,0.4625,0.725,0.443333333333333,0.3848884225,0.16630129,0.624475453333333
2005,0.584549935110991,1.01974562254641,1.20169328777457,0.61,1.445,0.693333333333333,-1.4062472125,-1.23818757,-1.35941276666667
2006,0.2082751456476,-0.179400790714827,0.140572266157031,0.485,0.44,0.246666666666667,-0.9196944275,-0.34428245,-0.331192696666667
2007,-0.295876626450507,-0.5242430778001,-0.0048937985272884,-0.0425,0.03,0.456666666666667,-0.313161895,0.47600138,1.30044133333333
2008,-0.524587672864449,-0.729664420974948,-0.31133012625926,-0.765,-1.445,-1.57,0.8810322775,1.56711445,1.6166405
2009,-0.446069267307771,-0.282268401602875,0.10656134577693,-1.3525,-1.265,-0.25,0.603106815,0.485590045,0.549473033333333
2010,-0.0239337389275496,-0.235309844560666,-0.409925511377222,0.5425,0.7,-0.846666666666667,1.65457805,1.5222716,1.15417283333333
2011,-0.0467599632221256,-0.0181167617728922,-0.0847331451528767,-0.9125,-0.395,-1.43,0.71353827,0.99538032,1.06160353333333
2012,-0.5131906467916,-0.673724659899842,-0.708665285676613,-1.2675,-0.765,-1.44,0.736317105,1.77674905,1.84299
2013,-0.20954894469232,0.225233063479294,0.838393027866531,-0.4175,-0.04,-1.02333333333333,1.0692880925,0.66428711,0.57984965
2014,0.991341807980829,1.23179576895276,1.7851736256689,0.31,1.465,0.73,-0.640486945,-0.19507554,-0.36519975
2015,1.25554833772818,1.24290826277122,1.37923052673368,2.315,1.32,1.64666666666667,-0.8940460925,-1.049449995,-1.55052453333333
2016,0.750675003450425,1.11607875780448,1.66533710163029,1.6725,2.485,1.26666666666667,0.1330926675,-0.541312245,-0.662988316666667
